Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0002"
"0.0200","0.0000","-0.0001"
"0.0400","0.0000","-0.0001"
"0.0600","0.0001","0.0001"
"0.0800","0.0001","0.0003"
"0.1000","0.0002","0.0007"
"0.1200","0.0003","0.0011"
"0.1400","0.0004","0.0016"
"0.1600","0.0005","0.0020"
"0.1800","0.0006","0.0025"
"0.2000","0.0008","0.0032"
"0.2200","0.0010","0.0040"
"0.2400","0.0011","0.0048"
"0.2600","0.0013","0.0056"
"0.2800","0.0016","0.0066"
"0.3000","0.0018","0.0076"
"0.3200","0.0021","0.0089"
"0.3400","0.0025","0.0104"
"0.3600","0.0028","0.0120"
"0.3800","0.0033","0.0141"
"0.4000","0.0038","0.0164"
"0.4200","0.0044","0.0191"
"0.4400","0.0051","0.0222"
"0.4600","0.0058","0.0256"
"0.4800","0.0067","0.0296"
"0.5000","0.0076","0.0340"
"0.5200","0.0086","0.0385"
"0.5400","0.0096","0.0430"
"0.5600","0.0105","0.0476"
"0.5800","0.0115","0.0520"
"0.6000","0.0124","0.0564"
"0.6200","0.0135","0.0614"
"0.6400","0.0146","0.0673"
"0.6600","0.0158","0.0732"
"0.6800","0.0168","0.0785"
"0.7000","0.0178","0.0833"
"0.7200","0.0187","0.0877"
"0.7400","0.0196","0.0921"
"0.7600","0.0205","0.0967"
"0.7800","0.0214","0.1015"
"0.8000","0.0224","0.1064"
"0.8200","0.0233","0.1116"
"0.8400","0.0243","0.1171"
"0.8600","0.0253","0.1224"
"0.8800","0.0261","0.1270"
"0.9000","0.0270","0.1315"
"0.9200","0.0278","0.1360"
"0.9400","0.0286","0.1407"
"0.9600","0.0295","0.1455"
"0.9800","0.0303","0.1506"
"1.0000","0.0312","0.1555"
"1.0200","0.0320","0.1601"
"1.0400","0.0328","0.1646"
"1.0600","0.0336","0.1692"
"1.0800","0.0343","0.1739"
"1.1000","0.0351","0.1783"
"1.1200","0.0357","0.1822"
"1.1400","0.0364","0.1861"
"1.1600","0.0371","0.1905"
"1.1800","0.0379","0.1955"
"1.2000","0.0387","0.2008"
"1.2200","0.0395","0.2061"
"1.2400","0.0403","0.2116"
"1.2600","0.0410","0.2166"
"1.2800","0.0418","0.2213"
"1.3000","0.0424","0.2257"
"1.3200","0.0431","0.2300"
"1.3400","0.0438","0.2345"
"1.3600","0.0445","0.2392"
"1.3800","0.0451","0.2438"
"1.4000","0.0458","0.2480"
"1.4200","0.0464","0.2526"
"1.4400","0.0471","0.2578"
"1.4600","0.0478","0.2628"
"1.4800","0.0485","0.2676"
"1.5000","0.0491","0.2723"
"1.5200","0.0498","0.2769"
"1.5400","0.0504","0.2814"
"1.5600","0.0510","0.2855"
"1.5800","0.0515","0.2894"
"1.6000","0.0521","0.2929"
"1.6200","0.0526","0.2965"
"1.6400","0.0531","0.3008"
"1.6600","0.0537","0.3054"
"1.6800","0.0543","0.3101"
"1.7000","0.0549","0.3146"
"1.7200","0.0555","0.3188"
"1.7400","0.0560","0.3230"
"1.7600","0.0565","0.3273"
"1.7800","0.0571","0.3318"
"1.8000","0.0577","0.3363"
"1.8200","0.0582","0.3407"
"1.8400","0.0588","0.3449"
"1.8600","0.0593","0.3490"
"1.8800","0.0598","0.3532"
"1.9000","0.0603","0.3572"
"1.9200","0.0608","0.3611"
"1.9400","0.0613","0.3648"
"1.9600","0.0618","0.3684"
"1.9800","0.0622","0.3718"
"2.0000","0.0626","0.3752"
"2.0200","0.0631","0.3789"
"2.0400","0.0636","0.3828"
"2.0600","0.0641","0.3869"
"2.0800","0.0645","0.3910"
"2.1000","0.0650","0.3951"
"2.1200","0.0655","0.3990"
"2.1400","0.0659","0.4029"
"2.1600","0.0664","0.4070"
"2.1800","0.0669","0.4116"
"2.2000","0.0674","0.4163"
"2.2200","0.0679","0.4210"
"2.2400","0.0684","0.4255"
"2.2600","0.0689","0.4299"
"2.2800","0.0694","0.4343"
"2.3000","0.0699","0.4388"
"2.3200","0.0704","0.4432"
"2.3400","0.0708","0.4473"
"2.3600","0.0712","0.4512"
"2.3800","0.0717","0.4546"
"2.4000","0.0721","0.4580"
"2.4200","0.0725","0.4614"
"2.4400","0.0729","0.4652"
"2.4600","0.0733","0.4693"
"2.4800","0.0738","0.4738"
"2.5000","0.0742","0.4783"
"2.5200","0.0747","0.4827"
"2.5400","0.0751","0.4869"
"2.5600","0.0756","0.4908"
"2.5800","0.0760","0.4946"
"2.6000","0.0764","0.4986"
"2.6200","0.0768","0.5030"
"2.6400","0.0773","0.5077"
"2.6600","0.0777","0.5122"
"2.6800","0.0782","0.5165"
"2.7000","0.0786","0.5204"
"2.7200","0.0790","0.5244"
"2.7400","0.0794","0.5285"
"2.7600","0.0798","0.5325"
"2.7800","0.0802","0.5362"
"2.8000","0.0806","0.5399"
"2.8200","0.0810","0.5436"
"2.8400","0.0814","0.5471"
"2.8600","0.0817","0.5504"
"2.8800","0.0821","0.5537"
"2.9000","0.0825","0.5573"
"2.9200","0.0829","0.5613"
"2.9400","0.0832","0.5655"
"2.9600","0.0837","0.5700"
"2.9800","0.0841","0.5746"
"3.0000","0.0845","0.5791"
"3.0200","0.0850","0.5838"
"3.0400","0.0854","0.5884"
"3.0600","0.0858","0.5927"
"3.0800","0.0862","0.5969"
"3.1000","0.0866","0.6014"
"3.1200","0.0870","0.6063"
"3.1400","0.0875","0.6110"
"3.1600","0.0879","0.6152"
"3.1800","0.0883","0.6189"
"3.2000","0.0886","0.6227"
"3.2200","0.0890","0.6265"
"3.2400","0.0894","0.6301"
"3.2600","0.0897","0.6336"
"3.2800","0.0901","0.6372"
"3.3000","0.0904","0.6409"
"3.3200","0.0908","0.6446"
"3.3400","0.0911","0.6484"
"3.3600","0.0915","0.6518"
"3.3800","0.0918","0.6553"
"3.4000","0.0922","0.6590"
"3.4200","0.0925","0.6630"
"3.4400","0.0929","0.6669"
"3.4600","0.0933","0.6713"
"3.4800","0.0937","0.6760"
"3.5000","0.0941","0.6810"
"3.5200","0.0945","0.6859"
"3.5400","0.0949","0.6906"
"3.5600","0.0953","0.6947"
"3.5800","0.0957","0.6985"
"3.6000","0.0960","0.7023"
"3.6200","0.0964","0.7061"
"3.6400","0.0968","0.7101"
"3.6600","0.0971","0.7142"
"3.6800","0.0975","0.7185"
"3.7000","0.0979","0.7226"
"3.7200","0.0983","0.7264"
"3.7400","0.0986","0.7302"
"3.7600","0.0990","0.7339"
"3.7800","0.0993","0.7379"
"3.8000","0.0997","0.7422"
"3.8200","0.1000","0.7466"
"3.8400","0.1004","0.7509"
"3.8600","0.1008","0.7552"
"3.8800","0.1012","0.7594"
"3.9000","0.1015","0.7636"
"3.9200","0.1019","0.7676"
"3.9400","0.1022","0.7714"
"3.9600","0.1026","0.7755"
"3.9800","0.1030","0.7799"
"4.0000","0.1033","0.7845"
"4.0200","0.1037","0.7890"
"4.0400","0.1041","0.7935"
"4.0600","0.1045","0.7979"
"4.0800","0.1048","0.8021"
"4.1000","0.1052","0.8058"
"4.1200","0.1055","0.8093"
"4.1400","0.1058","0.8127"
"4.1600","0.1062","0.8163"
"4.1800","0.1065","0.8201"
"4.2000","0.1068","0.8241"
"4.2200","0.1072","0.8280"
"4.2400","0.1075","0.8320"
"4.2600","0.1079","0.8361"
"4.2800","0.1082","0.8399"
"4.3000","0.1085","0.8437"
"4.3200","0.1089","0.8477"
"4.3400","0.1092","0.8520"
"4.3600","0.1096","0.8564"
"4.3800","0.1099","0.8607"
"4.4000","0.1103","0.8649"
"4.4200","0.1106","0.8691"
"4.4400","0.1110","0.8734"
"4.4600","0.1113","0.8774"
"4.4800","0.1116","0.8812"
"4.5000","0.1120","0.8849"
"4.5200","0.1123","0.8886"
"4.5400","0.1126","0.8925"
"4.5600","0.1129","0.8963"
"4.5800","0.1132","0.9004"
"4.6000","0.1136","0.9046"
"4.6200","0.1139","0.9089"
"4.6400","0.1143","0.9131"
"4.6600","0.1146","0.9173"
"4.6800","0.1149","0.9212"
"4.7000","0.1152","0.9247"
"4.7200","0.1155","0.9282"
"4.7400","0.1158","0.9317"
"4.7600","0.1161","0.9353"
"4.7800","0.1164","0.9390"
"4.8000","0.1168","0.9431"
"4.8200","0.1171","0.9473"
"4.8400","0.1174","0.9518"
"4.8600","0.1178","0.9563"
"4.8800","0.1181","0.9606"
"4.9000","0.1184","0.9649"
"4.9200","0.1188","0.9691"
"4.9400","0.1191","0.9732"
"4.9600","0.1194","0.9775"
"4.9800","0.1198","0.9817"
"5.0000","0.1201","0.9859"
"5.0200","0.1204","0.9900"
"5.0400","0.1207","0.9940"
"5.0600","0.1210","0.9979"
"5.0800","0.1213","1.0017"
"5.1000","0.1216","1.0052"
"5.1200","0.1219","1.0087"
"5.1400","0.1222","1.0121"
"5.1600","0.1225","1.0155"
"5.1800","0.1228","1.0191"
"5.2000","0.1231","1.0228"
"5.2200","0.1234","1.0267"
"5.2400","0.1237","1.0306"
"5.2600","0.1240","1.0346"
"5.2800","0.1243","1.0388"
"5.3000","0.1246","1.0429"
"5.3200","0.1249","1.0471"
"5.3400","0.1252","1.0510"
"5.3600","0.1255","1.0548"
"5.3800","0.1258","1.0586"
"5.4000","0.1261","1.0625"
"5.4200","0.1264","1.0666"
"5.4400","0.1267","1.0711"
"5.4600","0.1270","1.0759"
"5.4800","0.1274","1.0808"
"5.5000","0.1277","1.0854"
"5.5200","0.1280","1.0898"
"5.5400","0.1283","1.0941"
"5.5600","0.1287","1.0983"
"5.5800","0.1290","1.1025"
"5.6000","0.1293","1.1065"
"5.6200","0.1296","1.1108"
"5.6400","0.1299","1.1149"
"5.6600","0.1302","1.1191"
"5.6800","0.1305","1.1232"
"5.7000","0.1308","1.1272"
"5.7200","0.1311","1.1311"
"5.7400","0.1314","1.1350"
"5.7600","0.1316","1.1386"
"5.7800","0.1319","1.1421"
"5.8000","0.1322","1.1456"
"5.8200","0.1324","1.1492"
"5.8400","0.1327","1.1529"
"5.8600","0.1330","1.1568"
"5.8800","0.1333","1.1610"
"5.9000","0.1336","1.1653"
"5.9200","0.1339","1.1698"
"5.9400","0.1342","1.1742"
"5.9600","0.1345","1.1786"
"5.9800","0.1348","1.1829"
"6.0000","0.1351","1.1869"
"6.0200","0.1354","1.1908"
"6.0400","0.1357","1.1946"
"6.0600","0.1359","1.1983"
"6.0800","0.1362","1.2020"
"6.1000","0.1365","1.2059"
"6.1200","0.1368","1.2100"
"6.1400","0.1371","1.2143"
"6.1600","0.1374","1.2185"
"6.1800","0.1376","1.2226"
"6.2000","0.1379","1.2268"
"6.2200","0.1382","1.2308"
"6.2400","0.1385","1.2346"
"6.2600","0.1387","1.2385"
"6.2800","0.1390","1.2423"
"6.3000","0.1393","1.2462"
"6.3200","0.1396","1.2502"
"6.3400","0.1398","1.2542"
"6.3600","0.1401","1.2581"
"6.3800","0.1404","1.2621"
"6.4000","0.1407","1.2660"
"6.4200","0.1409","1.2699"
"6.4400","0.1412","1.2737"
"6.4600","0.1415","1.2775"
"6.4800","0.1417","1.2812"
"6.5000","0.1420","1.2849"
"6.5200","0.1422","1.2885"
"6.5400","0.1425","1.2921"
"6.5600","0.1427","1.2958"
"6.5800","0.1430","1.2997"
"6.6000","0.1433","1.3038"
"6.6200","0.1435","1.3079"
"6.6400","0.1438","1.3121"
"6.6600","0.1441","1.3162"
"6.6800","0.1444","1.3205"
"6.7000","0.1446","1.3248"
"6.7200","0.1449","1.3291"
"6.7400","0.1452","1.3330"
"6.7600","0.1454","1.3369"
"6.7800","0.1457","1.3407"
"6.8000","0.1459","1.3444"
"6.8200","0.1462","1.3482"
"6.8400","0.1465","1.3522"
"6.8600","0.1467","1.3564"
"6.8800","0.1470","1.3608"
"6.9000","0.1473","1.3651"
"6.9200","0.1476","1.3696"
"6.9400","0.1478","1.3738"
"6.9600","0.1481","1.3779"
"6.9800","0.1484","1.3818"
"7.0000","0.1486","1.3858"
"7.0200","0.1489","1.3897"
"7.0400","0.1491","1.3937"
"7.0600","0.1494","1.3978"
"7.0800","0.1497","1.4019"
"7.1000","0.1499","1.4059"
"7.1200","0.1502","1.4100"
"7.1400","0.1504","1.4139"
"7.1600","0.1507","1.4178"
"7.1800","0.1510","1.4219"
"7.2000","0.1512","1.4259"
"7.2200","0.1514","1.4295"
"7.2400","0.1517","1.4332"
"7.2600","0.1519","1.4368"
"7.2800","0.1522","1.4404"
"7.3000","0.1524","1.4439"
"7.3200","0.1526","1.4475"
"7.3400","0.1529","1.4512"
"7.3600","0.1531","1.4551"
"7.3800","0.1534","1.4590"
"7.4000","0.1536","1.4631"
"7.4200","0.1539","1.4675"
"7.4400","0.1542","1.4719"
"7.4600","0.1544","1.4763"
"7.4800","0.1547","1.4806"
"7.5000","0.1549","1.4847"
"7.5200","0.1552","1.4889"
"7.5400","0.1554","1.4928"
"7.5600","0.1557","1.4965"
"7.5800","0.1559","1.5003"
"7.6000","0.1562","1.5042"
"7.6200","0.1564","1.5083"
"7.6400","0.1567","1.5126"
"7.6600","0.1569","1.5172"
"7.6800","0.1572","1.5218"
"7.7000","0.1575","1.5265"
"7.7200","0.1578","1.5311"
"7.7400","0.1580","1.5356"
"7.7600","0.1583","1.5399"
"7.7800","0.1585","1.5441"
"7.8000","0.1588","1.5482"
"7.8200","0.1590","1.5522"
"7.8400","0.1593","1.5564"
"7.8600","0.1595","1.5605"
"7.8800","0.1598","1.5647"
"7.9000","0.1600","1.5688"
"7.9200","0.1603","1.5729"
"7.9400","0.1605","1.5768"
"7.9600","0.1608","1.5807"
"7.9800","0.1610","1.5846"
"8.0000","0.1612","1.5884"
"8.0200","0.1615","1.5921"
"8.0400","0.1617","1.5956"
"8.0600","0.1619","1.5991"
"8.0800","0.1621","1.6026"
"8.1000","0.1624","1.6062"
"8.1200","0.1626","1.6099"
"8.1400","0.1628","1.6137"
"8.1600","0.1631","1.6177"
"8.1800","0.1633","1.6218"
"8.2000","0.1635","1.6259"
"8.2200","0.1638","1.6303"
"8.2400","0.1640","1.6346"
"8.2600","0.1643","1.6391"
"8.2800","0.1646","1.6436"
"8.3000","0.1648","1.6480"
"8.3200","0.1651","1.6524"
"8.3400","0.1653","1.6566"
"8.3600","0.1655","1.6606"
"8.3800","0.1658","1.6647"
"8.4000","0.1660","1.6688"
"8.4200","0.1662","1.6728"
"8.4400","0.1665","1.6769"
"8.4600","0.1667","1.6812"
"8.4800","0.1670","1.6856"
"8.5000","0.1672","1.6900"
"8.5200","0.1675","1.6945"
"8.5400","0.1677","1.6986"
"8.5600","0.1680","1.7027"
"8.5800","0.1682","1.7067"
"8.6000","0.1684","1.7105"
"8.6200","0.1686","1.7143"
"8.6400","0.1689","1.7182"
"8.6600","0.1691","1.7220"
"8.6800","0.1693","1.7257"
"8.7000","0.1695","1.7296"
"8.7200","0.1698","1.7333"
"8.7400","0.1700","1.7371"
"8.7600","0.1702","1.7408"
"8.7800","0.1704","1.7446"
"8.8000","0.1706","1.7483"
"8.8200","0.1709","1.7522"
"8.8400","0.1711","1.7557"
"8.8600","0.1713","1.7595"
"8.8800","0.1715","1.7633"
"8.9000","0.1717","1.7670"
"8.9200","0.1719","1.7707"
"8.9400","0.1722","1.7743"
"8.9600","0.1724","1.7781"
"8.9800","0.1726","1.7819"
"9.0000","0.1728","1.7859"
"9.0200","0.1730","1.7900"
"9.0400","0.1733","1.7943"
"9.0600","0.1735","1.7988"
"9.0800","0.1737","1.8033"
"9.1000","0.1740","1.8080"
"9.1200","0.1742","1.8127"
"9.1400","0.1745","1.8172"
"9.1600","0.1747","1.8219"
"9.1800","0.1750","1.8263"
"9.2000","0.1752","1.8306"
"9.2200","0.1754","1.8346"
"9.2400","0.1756","1.8385"
"9.2600","0.1758","1.8423"
"9.2800","0.1761","1.8460"
"9.3000","0.1763","1.8498"
"9.3200","0.1765","1.8535"
"9.3400","0.1767","1.8574"
"9.3600","0.1769","1.8615"
"9.3800","0.1771","1.8655"
"9.4000","0.1774","1.8696"
"9.4200","0.1776","1.8737"
"9.4400","0.1778","1.8776"
"9.4600","0.1780","1.8816"
"9.4800","0.1782","1.8856"
"9.5000","0.1784","1.8894"
"9.5200","0.1786","1.8931"
"9.5400","0.1789","1.8967"
"9.5600","0.1791","1.9004"
"9.5800","0.1793","1.9041"
"9.6000","0.1795","1.9080"
"9.6200","0.1797","1.9116"
"9.6400","0.1799","1.9155"
"9.6600","0.1801","1.9194"
"9.6800","0.1803","1.9232"
"9.7000","0.1805","1.9271"
"9.7200","0.1807","1.9311"
"9.7400","0.1809","1.9351"
"9.7600","0.1812","1.9392"
"9.7800","0.1814","1.9432"
"9.8000","0.1816","1.9470"
"9.8200","0.1818","1.9508"
"9.8400","0.1820","1.9547"
"9.8600","0.1822","1.9585"
"9.8800","0.1824","1.9624"
"9.9000","0.1826","1.9664"
"9.9200","0.1828","1.9703"
"9.9400","0.1830","1.9742"
"9.9600","0.1832","1.9783"
"9.9800","0.1835","1.9825"
"10.0000","0.1837","1.9869"
"10.0200","0.1839","1.9911"
"10.0400","0.1841","1.9952"
"10.0600","0.1843","1.9994"
"10.0800","0.1845","2.0036"
"10.1000","0.1848","2.0078"
"10.1200","0.1850","2.0117"
"10.1400","0.1852","2.0156"
"10.1600","0.1854","2.0194"
"10.1800","0.1856","2.0231"
"10.2000","0.1858","2.0267"
"10.2200","0.1860","2.0303"
"10.2400","0.1862","2.0339"
"10.2600","0.1864","2.0376"
"10.2800","0.1866","2.0414"
"10.3000","0.1868","2.0455"
"10.3200","0.1870","2.0496"
"10.3400","0.1872","2.0537"
"10.3600","0.1874","2.0580"
"10.3800","0.1876","2.0622"
"10.4000","0.1878","2.0664"
"10.4200","0.1880","2.0704"
"10.4400","0.1882","2.0744"
"10.4600","0.1884","2.0784"
"10.4800","0.1886","2.0823"
"10.5000","0.1888","2.0862"
"10.5200","0.1890","2.0902"
"10.5400","0.1892","2.0942"
"10.5600","0.1895","2.0985"
"10.5800","0.1897","2.1028"
"10.6000","0.1899","2.1071"
"10.6200","0.1901","2.1114"
"10.6400","0.1903","2.1156"
"10.6600","0.1905","2.1199"
"10.6800","0.1907","2.1241"
"10.7000","0.1909","2.1283"
"10.7200","0.1911","2.1326"
"10.7400","0.1914","2.1368"
"10.7600","0.1916","2.1408"
"10.7800","0.1918","2.1447"
"10.8000","0.1920","2.1485"
"10.8200","0.1922","2.1524"
"10.8400","0.1923","2.1561"
"10.8600","0.1925","2.1598"
"10.8800","0.1927","2.1637"
"10.9000","0.1929","2.1675"
"10.9200","0.1931","2.1715"
"10.9400","0.1933","2.1755"
"10.9600","0.1935","2.1796"
"10.9800","0.1937","2.1837"
"11.0000","0.1939","2.1878"
"11.0200","0.1941","2.1920"
"11.0400","0.1943","2.1961"
"11.0600","0.1945","2.2003"
"11.0800","0.1947","2.2043"
"11.1000","0.1949","2.2083"
"11.1200","0.1951","2.2123"
"11.1400","0.1953","2.2161"
"11.1600","0.1955","2.2198"
"11.1800","0.1957","2.2235"
"11.2000","0.1959","2.2272"
"11.2200","0.1961","2.2309"
"11.2400","0.1963","2.2346"
"11.2600","0.1965","2.2383"
"11.2800","0.1967","2.2421"
"11.3000","0.1969","2.2460"
"11.3200","0.1971","2.2501"
"11.3400","0.1973","2.2542"
"11.3600","0.1975","2.2584"
"11.3800","0.1977","2.2625"
"11.4000","0.1979","2.2667"
"11.4200","0.1981","2.2708"
"11.4400","0.1983","2.2750"
"11.4600","0.1985","2.2791"
"11.4800","0.1987","2.2832"
"11.5000","0.1988","2.2873"
"11.5200","0.1990","2.2913"
"11.5400","0.1992","2.2953"
"11.5600","0.1994","2.2994"
"11.5800","0.1996","2.3035"
"11.6000","0.1998","2.3075"
"11.6200","0.2000","2.3116"
"11.6400","0.2002","2.3157"
"11.6600","0.2004","2.3198"
"11.6800","0.2006","2.3238"
"11.7000","0.2008","2.3277"
"11.7200","0.2010","2.3317"
"11.7400","0.2012","2.3356"
"11.7600","0.2014","2.3394"
"11.7800","0.2016","2.3432"
"11.8000","0.2017","2.3469"
"11.8200","0.2019","2.3506"
"11.8400","0.2021","2.3542"
"11.8600","0.2023","2.3578"
"11.8800","0.2025","2.3614"
"11.9000","0.2026","2.3650"
"11.9200","0.2028","2.3686"
"11.9400","0.2030","2.3724"
"11.9600","0.2032","2.3761"
"11.9800","0.2034","2.3800"
"12.0000","0.2035","2.3840"
"12.0200","0.2037","2.3881"
"12.0400","0.2039","2.3921"
"12.0600","0.2041","2.3962"
"12.0800","0.2043","2.4004"
"12.1000","0.2045","2.4046"
"12.1200","0.2047","2.4088"
"12.1400","0.2049","2.4130"
"12.1600","0.2051","2.4172"
"12.1800","0.2053","2.4214"
"12.2000","0.2055","2.4252"
"12.2200","0.2056","2.4291"
"12.2400","0.2058","2.4330"
"12.2600","0.2060","2.4368"
"12.2800","0.2062","2.4406"
"12.3000","0.2064","2.4445"
"12.3200","0.2066","2.4486"
"12.3400","0.2067","2.4527"
"12.3600","0.2069","2.4570"
"12.3800","0.2071","2.4614"
"12.4000","0.2073","2.4659"
"12.4200","0.2075","2.4703"
"12.4400","0.2077","2.4747"
"12.4600","0.2079","2.4791"
"12.4800","0.2081","2.4834"
"12.5000","0.2083","2.4875"
"12.5200","0.2085","2.4915"
"12.5400","0.2087","2.4955"
"12.5600","0.2089","2.4994"
"12.5800","0.2091","2.5034"
"12.6000","0.2092","2.5073"
"12.6200","0.2094","2.5112"
"12.6400","0.2096","2.5152"
"12.6600","0.2098","2.5191"
"12.6800","0.2100","2.5232"
"12.7000","0.2102","2.5272"
"12.7200","0.2103","2.5310"
"12.7400","0.2105","2.5348"
"12.7600","0.2107","2.5386"
"12.7800","0.2109","2.5425"
"12.8000","0.2111","2.5465"
"12.8200","0.2112","2.5503"
"12.8400","0.2114","2.5542"
"12.8600","0.2116","2.5579"
"12.8800","0.2118","2.5615"
"12.9000","0.2119","2.5652"
"12.9200","0.2121","2.5689"
"12.9400","0.2123","2.5725"
"12.9600","0.2125","2.5761"
"12.9800","0.2126","2.5798"
"13.0000","0.2128","2.5837"
"13.0200","0.2130","2.5875"
"13.0400","0.2131","2.5914"
"13.0600","0.2133","2.5954"
"13.0800","0.2135","2.5996"
"13.1000","0.2137","2.6039"
"13.1200","0.2139","2.6082"
"13.1400","0.2141","2.6125"
"13.1600","0.2143","2.6169"
"13.1800","0.2145","2.6213"
"13.2000","0.2146","2.6256"
"13.2200","0.2148","2.6298"
"13.2400","0.2150","2.6341"
"13.2600","0.2152","2.6382"
"13.2800","0.2154","2.6422"
"13.3000","0.2156","2.6461"
"13.3200","0.2157","2.6499"
"13.3400","0.2159","2.6537"
"13.3600","0.2161","2.6576"
"13.3800","0.2163","2.6614"
"13.4000","0.2164","2.6653"
"13.4200","0.2166","2.6694"
"13.4400","0.2168","2.6735"
"13.4600","0.2170","2.6776"
"13.4800","0.2172","2.6819"
"13.5000","0.2173","2.6862"
"13.5200","0.2175","2.6906"
"13.5400","0.2177","2.6949"
"13.5600","0.2179","2.6993"
"13.5800","0.2181","2.7036"
"13.6000","0.2183","2.7077"
"13.6200","0.2184","2.7118"
"13.6400","0.2186","2.7159"
"13.6600","0.2188","2.7200"
"13.6800","0.2190","2.7239"
"13.7000","0.2191","2.7278"
"13.7200","0.2193","2.7320"
"13.7400","0.2195","2.7360"
"13.7600","0.2197","2.7400"
"13.7800","0.2199","2.7442"
"13.8000","0.2200","2.7484"
"13.8200","0.2202","2.7525"
"13.8400","0.2204","2.7566"
"13.8600","0.2206","2.7605"
"13.8800","0.2207","2.7646"
"13.9000","0.2209","2.7687"
"13.9200","0.2211","2.7728"
"13.9400","0.2213","2.7769"
"13.9600","0.2214","2.7809"
"13.9800","0.2216","2.7849"
"14.0000","0.2218","2.7888"
"14.0200","0.2220","2.7925"
"14.0400","0.2221","2.7963"
"14.0600","0.2223","2.8001"
"14.0800","0.2225","2.8040"
"14.1000","0.2226","2.8078"
"14.1200","0.2228","2.8116"
"14.1400","0.2230","2.8155"
"14.1600","0.2231","2.8195"
"14.1800","0.2233","2.8235"
"14.2000","0.2235","2.8275"
"14.2200","0.2237","2.8315"
"14.2400","0.2238","2.8356"
"14.2600","0.2240","2.8398"
"14.2800","0.2242","2.8439"
"14.3000","0.2243","2.8480"
"14.3200","0.2245","2.8522"
"14.3400","0.2247","2.8563"
"14.3600","0.2249","2.8603"
"14.3800","0.2250","2.8644"
"14.4000","0.2252","2.8684"
"14.4200","0.2254","2.8724"
"14.4400","0.2256","2.8763"
"14.4600","0.2257","2.8801"
"14.4800","0.2259","2.8839"
"14.5000","0.2261","2.8877"
"14.5200","0.2262","2.8914"
"14.5400","0.2264","2.8954"
"14.5600","0.2265","2.8992"
"14.5800","0.2267","2.9031"
"14.6000","0.2269","2.9071"
"14.6200","0.2271","2.9113"
"14.6400","0.2272","2.9156"
"14.6600","0.2274","2.9198"
"14.6800","0.2276","2.9241"
"14.7000","0.2278","2.9283"
"14.7200","0.2279","2.9325"
"14.7400","0.2281","2.9366"
"14.7600","0.2283","2.9407"
"14.7800","0.2284","2.9447"
"14.8000","0.2286","2.9488"
"14.8200","0.2288","2.9528"
"14.8400","0.2289","2.9567"
"14.8600","0.2291","2.9608"
"14.8800","0.2293","2.9648"
"14.9000","0.2294","2.9688"
"14.9200","0.2296","2.9728"
"14.9400","0.2298","2.9768"
"14.9600","0.2300","2.9809"
"14.9800","0.2301","2.9849"
"15.0000","0.2303","2.9890"
"15.0200","0.2305","2.9931"
"15.0400","0.2306","2.9971"
"15.0600","0.2308","3.0010"
"15.0800","0.2310","3.0050"
"15.1000","0.2311","3.0090"
"15.1200","0.2313","3.0130"
"15.1400","0.2315","3.0170"
"15.1600","0.2316","3.0208"
"15.1800","0.2318","3.0246"
"15.2000","0.2319","3.0284"
"15.2200","0.2321","3.0321"
"15.2400","0.2322","3.0358"
"15.2600","0.2324","3.0393"
"15.2800","0.2326","3.0431"
"15.3000","0.2327","3.0468"
"15.3200","0.2329","3.0505"
"15.3400","0.2330","3.0542"
"15.3600","0.2332","3.0580"
"15.3800","0.2334","3.0619"
"15.4000","0.2335","3.0658"
"15.4200","0.2337","3.0699"
"15.4400","0.2338","3.0740"
"15.4600","0.2340","3.0783"
"15.4800","0.2342","3.0825"
"15.5000","0.2343","3.0867"
"15.5200","0.2345","3.0910"
"15.5400","0.2347","3.0952"
"15.5600","0.2349","3.0996"
"15.5800","0.2350","3.1039"
"15.6000","0.2352","3.1079"
"15.6200","0.2354","3.1119"
"15.6400","0.2355","3.1160"
"15.6600","0.2357","3.1198"
"15.6800","0.2358","3.1238"
"15.7000","0.2360","3.1276"
"15.7200","0.2362","3.1315"
"15.7400","0.2363","3.1353"
"15.7600","0.2365","3.1392"
"15.7800","0.2366","3.1432"
"15.8000","0.2368","3.1474"
"15.8200","0.2370","3.1516"
"15.8400","0.2371","3.1558"
"15.8600","0.2373","3.1601"
"15.8800","0.2375","3.1645"
"15.9000","0.2376","3.1689"
"15.9200","0.2378","3.1733"
"15.9400","0.2380","3.1777"
"15.9600","0.2382","3.1820"
"15.9800","0.2383","3.1861"
"16.0000","0.2385","3.1902"
"16.0200","0.2386","3.1942"
"16.0400","0.2388","3.1983"
"16.0600","0.2390","3.2022"
"16.0800","0.2391","3.2062"
"16.1000","0.2393","3.2102"
"16.1200","0.2394","3.2142"
"16.1400","0.2396","3.2180"
"16.1600","0.2398","3.2220"
"16.1800","0.2399","3.2260"
"16.2000","0.2401","3.2299"
"16.2200","0.2402","3.2340"
"16.2400","0.2404","3.2381"
"16.2600","0.2406","3.2418"
"16.2800","0.2407","3.2456"
"16.3000","0.2409","3.2495"
"16.3200","0.2410","3.2533"
"16.3400","0.2412","3.2571"
"16.3600","0.2413","3.2610"
"16.3800","0.2415","3.2647"
"16.4000","0.2416","3.2684"
"16.4200","0.2418","3.2721"
